product_name	allergens	countries_en	nutriscore_grade	energy-kcal_100g	fat_100g	saturated-fat_100g	carbohydrates_100g	sugars_100g	proteins_100g	level_1	level_2	level_3
Sacchetti	en:eggs,en:gluten,en:milk	United States	c	240.0	8.0	4.5	32.0	1.0	12.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 Hummus & Chicckpea Ravioli	en:gluten	United States	a	210.0	7.0	2.5	31.0	1.0	9.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 Rosemary & Sea Salt Artisan Flatbread		United States	b	389.0	8.33	0.0	61.11	5.56	11.11	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Bill knapp's old fashioned cinnamon raisin iced bread		United States	d	355.55555555556	7.7777777777778	1.1111111111111	66.666666666667	37.777777777778	6.6666666666667	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 Iced Toaster Bread, Cranberry-Orange		United States	d	321.0	7.14	0.0	57.14	21.43	7.14	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 Sweet & Thicker Balsamic Glaze, Original		United States	d	300.0	0.0	0.0	73.33	66.67	0.0	condiments	sauces	groceries
Pure Vermon Maple Syrup		United States	d	350.0	0.0	0.0	88.33	88.33	0.0	sweeteners	syrups	simple-syrups
Pastazara traditional bronze cut caserecce macaroni product		United States	a	357.14285714286	1.7857142857143	0.0	73.214285714286	3.5714285714286	14.285714285714	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Mt olive whole dills		United States	not-applicable	0.0	0.0	0.0	3.5714285714286	0.0	0.0	plant-based-foods-and-beverages	plant-based-foods	condiments
Mild Okra		United States		17.9	0.0	0.0	3.57		0.0	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Blue mountain country jamaican curry powder hot		United States		0.0	0.0	0.0	0.0	0.0	0.0	plant-based-foods-and-beverages	plant-based-foods	condiments
 hot jamaican jerk curry seasoning		United States	b	0.0	0.0		0.0		0.0	plant-based-foods-and-beverages	plant-based-foods	condiments
British garden peas		United Kingdom	a	93.0	1.5	0.6	10.4	2.2	6.9	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
 Less Salt Roasted Peanuts		United States	e	2000.0	178.0	27.8	55.6	11.1	88.9	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Enriched-Bleached Self-Rising Flour		United States	d	333.33333333333	0.0	0.0	73.333333333333	0.0	6.6666666666667	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Enriched Stone Ground White Corn Meal		United States	unknown	367.0	3.33		76.67		6.67	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Semi di orzo no 27 enriched macaroni product		United States	a	357.0	1.79	0.0	69.64	3.57	14.29	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Riccioli		United States	a	357.0	1.79	0.0	69.64	3.57	14.29	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Rummo	en:eggs	United States	a	370.43570294585	3.5279590756747	0.0	65.267242899982	1.7639795378374	15.875815840536	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Enriched Wheat Bread		United States	c	268.0	2.44	0.0	56.1	7.32	7.32	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Cinamon Maple Pancake Syrup		United States	d	350.0	0.0		90.0	61.67	0.0	sweeteners	syrups	simple-syrups
 grill time, steak seasoning		United States	c	0.0	0.0		0.0		0.0	plant-based-foods-and-beverages	plant-based-foods	condiments
Pub Style Rolls Pretzel		United States	c	257.0	2.14	0.0	50.0	5.71	10.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Sliders Enriched Mini Buns		United States	c	321.0	3.57	1.79	60.71	7.14	10.71	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 p$$t..., ranch dressing		United States	d	310.0	31.03	5.17	6.9	6.9	0.0	condiments	sauces	groceries
 summer berry		United States	a	388.0	5.22	0.75	70.15	4.48	13.43	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Shichimi togarashi		United States	c	0.0	0.0		0.0		0.0	plant-based-foods-and-beverages	plant-based-foods	condiments
Buttered pancake syrup		United States	d	333.33333333333	0.0	0.0	90.0	63.333333333333	0.0	sweeteners	syrups	simple-syrups
Sliced wide pan bread		United States	c	289.0	4.44	0.0	48.89	8.89	8.89	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Fruit Cocktail		United States		49.180327868852	0.0	0.0	12.295081967213	11.475409836066	0.0	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Baba Ghannouj Eggplant Dip		United States	c	233.3333	16.6667	1.6667	3.3333	3.3333	6.6667	plant-based-foods-and-beverages	plant-based-foods	condiments
Kroger dry roasted peanuts lightly salted	en:gluten,en:nuts,en:peanuts	United States		607.1429	50.0	7.1429	21.4286	3.5714	25.0	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Smoke Serrano Street Taco Sauce		United States	e	361.11111111111	30.555555555556	4.1666666666667	22.222222222222	19.444444444444	2.7777777777778	condiments	sauces	groceries
Kroger white hoagie rolls		United States	c	279.41176470588	2.9411764705882	0.0	54.411764705882	4.4117647058824	10.294117647059	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
hot dog buns		United States	c	282.0513	3.8462	0.0	53.8462	7.6923	10.2564	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Pain bagels		United States	d	305.88235294118	1.7647058823529	0.58823529411765	60.0	8.2352941176471	9.4117647058824	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Multi - Seed Bagel		United States	d	317.64705882353	4.1176470588235	0.58823529411765	55.294117647059	9.4117647058824	11.764705882353	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Silken Tofu	en:soybeans	United States	unknown	47.058823529412	2.3529411764706	0.0	2.3529411764706	1.1764705882353	4.7058823529412	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Carbmaster Hamburger Buns		United States	d	100.0	8.0	4.0	34.0	2.0	24.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Diced Peaches		United States	b	53.097345132743	0.0	0.0	12.389380530973	10.619469026549	0.88495575221239	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Kroger Creamy peanut butter 40 0z		United States	e	562.5	46.875	7.8125	21.875	12.5	21.875	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Rustic sesame loaf artisan bread	en:gluten,en:sesame-seeds	United States	b	228.0	3.51	0.0	42.11	0.0	7.02	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Expeller Pressed Vegetable Oil		United States	d	857.14285714286	100.0	14.285714285714	0.0	0.0	0.0	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Private Selection Heirloom Marinara		United States	c	55.555555555556	2.3809523809524	0.0	6.3492063492063	3.968253968254	1.5873015873016	condiments	sauces	groceries
Kroger Whole Wheat Hamburger Buns		United States	a	260.0	3.0	0.0	50.0	8.0	12.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Smart Way Creamy Peanut Butter	en:peanuts	United States	a	180.0	15.0	2.5	7.0	4.0	7.0	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
 City Market, Ancient Grain Artisan Bread	en:gluten	United States	a	241.0	2.78	0.0	42.59	0.0	7.41	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 fresh bakery goodness, naan tandoor baked original		United States	c	280.0	7.0	1.0	50.0	4.0	8.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Featuring brussels sprouts & kale	en:gluten,en:soybeans	United States	c	64.0	0.0	0.0	13.64	10.0	2.73	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Halved brussels sprouts		United States	a	53.0	0.0	0.0	9.41	2.35	3.53	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Basil & sundried tomato greek yogurt dressing		United States	d	310.0	34.48	5.17	3.45	3.45	0.0	condiments	sauces	groceries
Egg bagels	en:gluten,en:milk	United States	d	293.0	7.07	3.54	49.49	5.05	9.09	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Aloli Salsa Brava		United States	d	692.0	69.23	7.69	0.0	0.0	0.0	condiments	sauces	groceries
La habra bakery white dinner rolls	en:gluten	United States	b	275.0	3.75	0.0	55.0	0.0	7.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Soymilk		United States	a	42.0	1.46	0.21	4.58	3.33	2.5	plant-based-foods-and-beverages	beverages	dairy-substitutes
Deluxe jammed chocolate chip cookie dough frozen dairy dessert	en:milk	United States	d	231.0	7.69	4.62	35.38	24.62	4.62	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Smidge & spoon garlic powder		United States	a	0.0	0.0	0.0	0.0	0.0	0.0	plant-based-foods-and-beverages	plant-based-foods	condiments
Seeded multigrain bread		United States	a	277.77777777778	8.3333333333333	0.0	41.666666666667	8.3333333333333	11.111111111111	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Sugar & Cinnamon		United States	d	429.0	0.0		85.71	85.71	0.0	plant-based-foods-and-beverages	plant-based-foods	condiments
Bac'N Buds		United States	d	429.0	14.29	0.0	28.57	14.29	42.86	condiments	sauces	groceries
 bfg cornbread		United States	unknown	299.0	11.94	1.49	41.79	19.4		plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 asiago pdo cheese & truffle filled pasta girasoli	en:gluten,en:milk	United States	e	329.0	18.57	12.14	30.0	3.57	8.57	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 roasted tomato & basil filled pasta, burrata cheese, roasted tomato & basil filled pasta	en:gluten,en:milk	United States	d	286.0	13.57	7.14	37.86	5.71	9.29	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 parmigiano reggiano	en:gluten,en:milk	United States	d	293.0	12.14	8.57	36.43	5.0	10.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Girasoli butternut squash & parmigiano reggiano filled pasta	en:gluten,en:milk	United States	d	286.0	9.29	4.29	42.86	6.43	7.86	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 bac'n buds chips		United States	d	429.0	14.29	0.0	28.57	14.29	42.86	condiments	sauces	groceries
Bacon & Honey French		United States	e	469.0	37.5	6.25	31.25	21.88	3.12	condiments	sauces	groceries
 1883 sauce		United States	d	118.0	0.0		23.53	23.53	0.0	condiments	sauces	groceries
Chili Hot Beans		United States	a	92.0	1.15	0.0	16.15	1.54	5.38	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Peanut iol		United States	d	800.0	93.333333333333	16.666666666667	0.0	0.0	0.0	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Pork & Beans		United States	b	116.0	2.33	0.39	21.71	6.98	3.88	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Taco sauce		United States	c	81.0	0.0	0.0	16.13	6.45	0.0	condiments	sauces	groceries
 crisp rice, corn flakes and bran flakes flavored with cinnamon high protein multigrain granola, soy nuggets, crisp rice, corn flakes and bran flakes		United States	c	407.0	5.56	0.93	62.96	20.37	25.93	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
I Raspberry Vinaigrette		United States	c	117.0	10.0	1.67	10.0	10.0	0.0	condiments	sauces	groceries
Lemon tarragon mustard		United States		200.0	0.0		20.0	20.0	0.0	condiments	sauces	groceries
Procini truffle finishing sauce	en:gluten,en:milk,en:soybeans	United States	c	133.0	10.0	0.0	6.67	0.0	0.0	condiments	sauces	groceries
Pure Ground Sesame Seed		United States	c	607.0	57.14	7.14	21.43	0.0	17.86	plant-based-foods-and-beverages	plant-based-foods	condiments
Ground Beef Lean Fat		United States	a	35.0	0.0	0.0	4.71	1.18	3.53	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Grade A Amber Color Rich Taste Maple Syrup		United States	unknown	700.0	0.0	0.0	177.0	177.0	0.0	sweeteners	syrups	simple-syrups
 toasted flakes with fruit & yogurt		United States	c	375.0	3.12	0.0	84.38	31.25	6.25	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Culinary spice paste		United States	c	233.0	13.33	0.0	26.67	6.67	6.67	condiments	sauces	groceries
Nutty nuggets crunchy wheat & barley cereal		United States	b	345.0	1.72	0.0	81.03	8.62	10.34	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Diced Petite Peeled Tomatoes In Tomato Juice		United States	a	21.0	0.0	0.0	4.13	2.48	0.83	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Dark amber maple syrup		United States	d	260.0	0.0	0.0	67.0	61.0	0.0	sweeteners	syrups	simple-syrups
Meal - ready sides mixed vegetables		United States	a	68.0	0.0	0.0	12.5	4.55	2.27	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 California Style Vegetables		United States	a	34.0	0.0	0.0	5.62	2.25	1.12	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
"9"" pie crusts unroll & bake"		United States	e	407.0	25.93	12.96	44.44	0.0	3.7	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Summer tomato and leek pasta sauce	en:celery	United States	c	112.0	7.2	0.8	10.4	4.8	1.6	condiments	sauces	groceries
Pure Corn Starch		United States	b	30.0	0.0	0.0	7.0	0.0	0.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 parker house style yeast dinner rolls		United States	d	346.0	11.54	3.85	53.85	11.54	7.69	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Jumbo crescent rolls		United States	e	349.0	16.28	4.65	41.86	9.3	4.65	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Dressing with parmesan		United States	d	156.0	10.94	1.56	15.62	12.5	0.0	condiments	sauces	groceries
Bow ties enriched macaroni product		United States	a	357.0	1.79	0.0	75.0	3.57	12.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 mukimame		United States	a	141.0	5.29	0.59	9.41	2.35	14.12	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Tri-bean blend		United States	a	77.0	0.0	0.0	14.62	0.77	5.38	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Italian Gnocchi With Potato		United States	b	158.0	0.0	0.0	33.33	0.42	3.33	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 living well, multi-grain cereal, cinnamon		United States	c	375.0	3.12	0.0	81.25	25.0	9.38	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Italian Flat Egg Noodles		United States	a	375.0	3.57	1.79	69.64	1.79	16.07	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Long Pasta Spirals		United States	a	375.0	1.79	0.0	73.21	3.57	12.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Chocolaty Sweetened Rice Cereal		United States	d	387.0	3.23	0.0	87.1	38.71	3.23	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 edamame, unshelled tender soybeans with a slightly nutty flavor		United States	a	129.0	4.12	0.0	14.12	2.35	10.59	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Grade a dark color robust taste maple syrup		United States	d	333.33333333333	0.0	0.0	90.0	90.0	0.0	sweeteners	syrups	simple-syrups
Handpicked Asparagus Spears		United States	a	24.0	0.0	0.0	3.61	2.41	2.41	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 crunchy wheat flakes cereal, raisin bran		United States	c	324.0	2.11	0.0	77.46	28.17	8.45	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Long Brown Rice		United States	a	355.55555555556	3.5555555555556	0.0	77.777777777778	0.0	8.8888888888889	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 scrambled pork, wild fennel and barolo wine pasta sauce		United States	c	128.0	8.8	2.4	8.8	4.8	4.0	condiments	sauces	groceries
Onion 8 count sandwich rolls	en:gluten	United States	b	281.0	3.91	0.0	50.0	4.69	9.38	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 jungle curry	en:mustard	United States	c	83.0	5.0	0.83	7.5	3.33	0.83	condiments	sauces	groceries
Thai inspirations sweet chili peanut sauce		United States	d	194.44444444444	5.5555555555556	0.0	33.333333333333	27.777777777778	5.5555555555556	condiments	sauces	groceries
Top'ems crispy jalapenos		United States	c	571.0	42.86	0.0	42.86	0.0	0.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Top'Ems Crispy Poblanos	en:milk	United States	c	571.0	42.86	0.0	42.86	0.0	0.0	condiments	sauces	groceries
White gluten free bread		United States	b	278.0	4.17	0.0	55.56	5.56	5.56	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 7 - grain bread		United States	b	250.0	4.17	0.0	50.0	5.56	5.56	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 corn-o-cob		United States	b	108.0	0.96	0.0	22.93	5.73	3.18	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Mac & cheese sauce	en:milk	United States	e	210.0	17.74	7.26	9.68	1.61	3.23	condiments	sauces	groceries
Beef Flavored Broth		United States	c	2.0	0.0	0.0	0.0	0.0	0.42	broths	beef-broth	groceries
Sandwich Bread		United States		255.31914893617	2.1276595744681	0.0	48.936170212766	4.2553191489362	8.5106382978723	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Lumaconi giant pasta shells italian macaroni product		United States	a	357.0	0.89	0.0	71.43	1.79	14.29	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 crunchy sweetened wheat and rice flakes cereal with oat clusters, raisin		United States	c	358.0	1.89	0.0	83.02	37.74	5.66	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 frozen handpicked dark sweet cherries		United States	b	77.0	0.0	0.0	18.46	13.85	0.77	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 nutty nuggets, crunchy wheat & barley cereal		United States	b	345.0	1.72	0.0	82.76	8.62	10.34	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Pre-Sliced Plain Bagels		United States	b	266.0	1.6	0.0	55.32	6.38	8.51	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 pre sliced whole wheat bagels	en:gluten	United States	a	234.0	2.13	0.0	48.94	6.38	12.77	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 pre-sliced mini swirl raisin bagels, cinnamon	en:gluten	United States	b	279.0	2.33	0.0	55.81	11.63	9.3	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 24 grains & seeds bread		United States	a	267.0	7.78	0.0	42.22	8.89	11.11	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Red lager & roasted tomato craft bbq sauce	en:gluten	United States	d	91.0	0.0	0.0	21.21	15.15	0.0	condiments	sauces	groceries
Hot huli huli & rum craft bbq sauce	en:gluten,en:soybeans	United States	d	114.0	0.0	0.0	25.71	20.0	2.86	condiments	sauces	groceries
Dry roasted lightly salted peanuts		United States	a	16.0	14.0	2.0	6.0	1.0	6.0	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Malaysian inspired rendang creamy coconut simmer sauce	en:mustard	United States	c	108.0	6.67	2.5	10.0	5.0	1.67	condiments	sauces	groceries
Blondie dough	en:eggs,en:milk,en:peanuts	United States	e	476.0	23.81	9.52	57.14	38.1	7.14	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 flaky crescent dinner rolls		United States	e	357.0	21.43	8.93	39.29	7.14	3.57	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Jumbo Biscuits Buttermilk		United States	d	316.0	14.04	8.77	43.86	7.02	5.26	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 small batch, slow simmered rich pumpkin sauce with red onions, ginger, spices and roasted panuts	en:celery	United States	c	75.0	4.17	3.33	8.33	4.17	1.67	condiments	sauces	groceries
Taco medium		United States		53.0	0.0		10.53	5.26	2.63	condiments	sauces	groceries
 whole wheat wide egg noodles made with whole grain		United States	a	375.0	5.36	1.79	71.43	3.57	14.29	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
A fat free food blackeye peas		United States	a	286.0	0.0	0.0	60.0	5.71	22.86	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 southern style whole okra		United States	a	35.0	0.0	0.0	7.06	2.35	1.18	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 stir-fry starters, vegetables with noodles, egg noodles, broccoli, carrots, celery, green peppers, mushrooms, onions & red peppers		United States	a	92.0	0.57	0.0	16.09	1.15	4.6	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 meal - ready sides italian style vegetables		United States	a	46.0	0.0	0.0	8.05	3.45	2.3	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 meal-ready sides mexican style vegetables		United States	a	56.0	0.0	0.0	10.0	3.75	2.5	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 recipe beginnings chopped spinach		United States	a	37.0	0.0	0.0	3.7	1.23	2.47	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
basmati rice		United States	b	169.35483870968	1.6129032258065	0.40322580645161	35.483870967742	0.0	4.0322580645161	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 slice'n bake chocolate chip cookie dough		United States	e	448.0	20.69	10.34	62.07	37.93	3.45	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Thin wheat noodles	en:gluten	United States	b	340.0	0.0	0.0	68.0	2.0	10.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Toasted sliced almonds & dried cranberry salad toppers		United States	a	450.0	20.0	0.0	60.0	40.0	10.0	condiments	sauces	groceries
 fresh selections, american blend; romain lettuce, iceberg lettuce, red cabbage, carrots & radish		United States	a	18.0	0.0	0.0	3.53	2.35	1.18	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 fresh selection, field green		United States	a	24.0	0.0	0.0	4.71	2.35	1.18	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 kroger, baby spring mix		United States	a	24.0	0.0	0.0	3.53	0.0	2.35	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 fresh selections, 50/50blend, baby spinach & spring mix		United States	a	24.0	0.0	0.0	3.53	0.0	2.35	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 fresh selections, veggie tray with pretzels		United States	b	129.0	7.36	1.23	12.27	3.07	1.84	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 fresh selections, portobello sliced mushrooms		United States	a	35.0	0.0		4.71	1.18	3.53	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 fresh selections, fruit tray with carrots, grapes, apples		United States	a	56.0	0.0	0.0	12.63	9.09	0.51	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 Veggie Tray With Apples		United States	a	45.0	0.0	0.0	9.6	5.65	1.13	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 fresh selections, shredded carrots		United States	a	41.0	0.0	0.0	9.41	5.88	1.18	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Sliced potatoes with a smooth cheese & smoked bacon flavored sauce	en:milk	United States	c	333.0	0.0	0.0	76.67	3.33	6.67	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Hearty baked mashed potatoes	en:milk,en:soybeans	United States	c	379.0	3.45	0.0	75.86	3.45	6.9	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Hungry jack instant mashed potatoes		United States	a	380.9524	0.0	0.0	76.1905	0.0	9.5238	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Redskin & gold mashed potatoes		United States	a	363.64	0.0	0.0	81.82	0.0	9.09	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
5 Presliced Plain Bagels	en:gluten	United States	b	284.0	1.23	0.0	56.79	2.47	9.88	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Plain Couscous Mix		United States	a	371.0	0.0	0.0	77.42	1.61	12.9	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 homestyle pasta sauce, mushroom		United States	a	55.0	1.17	0.0	10.16	7.03	1.56	condiments	sauces	groceries
 select, habanero barbeque sauce, savory sweetness & bold		United States	d	156.0	0.0	0.0	37.5	34.38	0.0	condiments	sauces	groceries
